Process Id, Wait Time
0, 0
1, 0
2, 0
3, 0
4, 0
5, 5717
6, 11493
7, 17247
8, 22979
9, 28701
10, 40141
11, 51596
12, 63015
13, 74564
14, 86111
15, 103192
16, 120386
17, 137715
18, 155037
19, 172312
20, 195102
21, 218135
22, 241203
23, 264335
24, 287542
25, 316032
26, 344910
27, 373824
28, 402715
29, 431710
30, 465893
31, 500428
32, 535124
33, 569862
34, 604569
35, 644681
36, 685001
37, 725325
38, 765829
39, 806360
40, 852082
41, 898166
42, 944299
43, 990465
44, 1036777
45, 1088207
46, 1139995
47, 1191941
48, 1243892
49, 1296004
