Process Id, Wait Time
0, 0
1, 10790
2, 31900
3, 63698
4, 102140
5, 144735
6, 192396
7, 245135
8, 301579
9, 359929
10, 428131
11, 497629
12, 570079
13, 652960
14, 741960
15, 840465
16, 940247
17, 1044223
18, 1158917
19, 1276106
20, 1397342
21, 1521327
22, 1654818
23, 1791213
24, 1928676
25, 2069229
26, 2213903
27, 2362565
28, 2514153
29, 2670930
30, 2829122
31, 2997244
32, 3167043
33, 3344748
34, 3529833
35, 3718770
36, 3913551
37, 4118467
38, 4328831
39, 4540537
40, 4756416
41, 4975449
42, 5200847
43, 5431383
44, 5668696
45, 5909005
46, 6155813
47, 6409188
48, 6666375
49, 6931998
