Process Id, Wait Time
0, 1241962
1, 22272
2, 280699
3, 167290
4, 3056
5, 129106
6, 29602
7, 933891
8, 1351
9, 837791
10, 8385
11, 207614
12, 1186277
13, 452903
14, 147910
15, 70968
16, 884706
17, 232206
18, 1351094
19, 711349
20, 46705
21, 982431
22, 1030975
23, 333298
24, 594153
25, 35985
26, 14695
27, 1079294
28, 304822
29, 94666
30, 1296202
31, 557821
32, 1503
33, 422023
34, 794646
35, 0
36, 392157
37, 1131248
38, 0
39, 486588
40, 82540
41, 58172
42, 752776
43, 521879
44, 668823
45, 362479
46, 184527
47, 629358
48, 255287
49, 109885
