Process Id, Wait Time
0, 0
1, 4102389
2, 4605020
3, 2050403
4, 722015
5, 950300
6, 1036448
7, 378816
8, 95740
9, 3225336
10, 33683
11, 224156
12, 4348214
13, 1539937
14, 2845094
15, 20898
16, 869218
17, 4871814
18, 116011
19, 590312
20, 138727
21, 3030137
22, 164142
23, 9690
24, 294696
25, 653553
26, 530868
27, 192261
28, 1221288
29, 60987
30, 3429387
31, 76925
32, 2503604
33, 2345108
34, 475812
35, 1427192
36, 3643118
37, 1321441
38, 46414
39, 792930
40, 334329
41, 1657451
42, 1125924
43, 2194092
44, 257403
45, 1781180
46, 1911408
47, 425058
48, 2669256
49, 3866384
